Line#,Date,"Water Content (RXW-GP6 21198259:21398577-1), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21398577-2), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21398577-3), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21398577-4), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21398577-5), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21398577-6), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-1), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-2), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-3), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-4), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-5), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21198259:21206939-6), m^3/m^3, RX3000_BRW1_TNHA","Water Content (RXW-GP6 21401801:21393043-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393043-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393043-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393043-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393043-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393043-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393044-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21393049-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398580-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398581-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398594-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-1), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-2), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-3), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-4), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-5), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401801:21398599-6), m^3/m^3, RX3000_BRW4_SSMH","Water Content (RXW-GP6 21401803:21393045-1), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393045-2), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393045-3), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393045-4), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393045-5), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393045-6), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-1), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-2), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-3), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-4), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-5), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21393048-6), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-1), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-2), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-3), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-4), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-5), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398576-6), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-1), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-2), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-3), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-4), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-5), m^3/m^3, RX3000_BRW6_BEO","Water Content (RXW-GP6 21401803:21398591-6), m^3/m^3, RX3000_BRW6_BEO"
1,12/01/23 00:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.114,0.216,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12/01/23 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.216,0.070,0.053,,,,,,
3,12/01/23 01:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.114,0.216,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12/01/23 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.216,0.070,0.053,,,,,,
5,12/01/23 02:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.114,0.215,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12/01/23 02:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.215,0.070,0.053,,,,,,
7,12/01/23 03:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.114,0.215,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12/01/23 03:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.215,0.070,0.053,,,,,,
9,12/01/23 04:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.113,0.215,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12/01/23 04:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.213,0.070,0.053,,,,,,
11,12/01/23 05:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.113,0.215,0.352,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12/01/23 05:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.213,0.070,0.053,,,,,,
13,12/01/23 06:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.113,0.215,0.350,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12/01/23 06:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.037,0.212,0.070,0.053,,,,,,
15,12/01/23 07:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.101,0.080,0.113,0.215,0.350,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12/01/23 07:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.212,0.070,0.053,,,,,,
17,12/01/23 08:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.080,0.113,0.213,0.350,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12/01/23 08:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.212,0.070,0.053,,,,,,
19,12/01/23 09:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.080,0.113,0.213,0.350,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12/01/23 09:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.212,0.070,0.053,,,,,,
21,12/01/23 10:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.080,0.113,0.215,0.350,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12/01/23 10:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.211,0.070,0.053,,,,,,
23,12/01/23 11:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.080,0.113,0.213,0.350,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12/01/23 11:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.211,0.070,0.053,,,,,,
25,12/01/23 12:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.099,0.080,0.113,0.213,0.350,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,12/01/23 12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.210,0.070,0.053,,,,,,
27,12/01/23 13:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.099,0.079,0.113,0.213,0.349,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,12/01/23 13:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.210,0.070,0.053,,,,,,
29,12/01/23 14:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.099,0.079,0.113,0.213,0.349,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12/01/23 14:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.208,0.069,0.053,,,,,,
31,12/01/23 15:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.099,0.079,0.113,0.212,0.349,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,12/01/23 15:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.208,0.069,0.053,,,,,,
33,12/01/23 16:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.113,0.212,0.349,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,12/01/23 16:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
35,12/01/23 17:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.113,0.212,0.349,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12/01/23 17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
37,12/01/23 18:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,12/01/23 18:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
39,12/01/23 19:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,12/01/23 19:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
41,12/01/23 20:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12/01/23 20:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
43,12/01/23 21:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12/01/23 21:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
45,12/01/23 22:00:00,0.000,0.020,0.083,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,12/01/23 22:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.207,0.069,0.053,,,,,,
47,12/01/23 23:00:00,0.000,0.020,0.084,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,12/01/23 23:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.036,0.206,0.069,0.053,,,,,,
49,12/02/23 00:00:00,0.000,0.020,0.084,0.060,0.011,0.116,0.100,0.079,0.112,0.212,0.347,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12/02/23 01:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.212,0.347,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,12/02/23 02:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.212,0.345,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,12/02/23 03:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.212,0.345,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,12/02/23 04:00:00,0.000,0.020,0.084,0.060,0.011,0.116,0.101,0.079,0.112,0.212,0.345,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,12/02/23 05:00:00,0.000,0.021,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.212,0.345,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,12/02/23 06:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.211,0.345,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12/02/23 07:00:00,0.000,0.021,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.212,0.345,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12/02/23 08:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.101,0.079,0.112,0.211,0.345,0.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,12/02/23 09:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.100,0.079,0.112,0.211,0.345,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,12/02/23 10:00:00,0.000,0.020,0.084,0.061,0.011,0.116,0.100,0.079,0.111,0.211,0.345,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,12/02/23 11:00:00,0.000,0.020,0.083,0.061,0.011,0.116,0.100,0.079,0.111,0.211,0.344,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12/02/23 12:00:00,0.000,0.020,0.083,0.061,0.011,0.116,0.100,0.079,0.111,0.210,0.344,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,12/02/23 13:00:00,0.000,0.020,0.083,0.061,0.011,0.116,0.099,0.079,0.111,0.210,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12/02/23 14:00:00,0.000,0.019,0.083,0.061,0.011,0.116,0.099,0.079,0.111,0.210,0.344,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,12/02/23 15:00:00,0.000,0.019,0.083,0.061,0.012,0.116,0.099,0.078,0.111,0.210,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,12/02/23 16:00:00,0.000,0.019,0.083,0.061,0.012,0.116,0.098,0.078,0.111,0.210,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,12/02/23 17:00:00,0.000,0.018,0.083,0.061,0.012,0.116,0.098,0.078,0.111,0.210,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,12/02/23 18:00:00,0.000,0.018,0.083,0.061,0.012,0.116,0.098,0.078,0.111,0.210,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,12/02/23 19:00:00,0.000,0.018,0.083,0.061,0.012,0.116,0.098,0.078,0.111,0.210,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,12/02/23 20:00:00,0.000,0.018,0.083,0.061,0.012,0.116,0.098,0.078,0.110,0.208,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,12/02/23 21:00:00,0.000,0.018,0.083,0.061,0.012,0.116,0.098,0.078,0.110,0.208,0.342,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12/02/23 22:00:00,0.000,0.018,0.083,0.061,0.011,0.116,0.098,0.078,0.110,0.208,0.342,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12/02/23 23:00:00,0.000,0.018,0.083,0.061,0.011,0.116,0.098,0.078,0.110,0.208,0.342,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,12/03/23 00:00:00,0.000,0.018,0.083,0.061,0.011,0.116,0.098,0.077,0.110,0.208,0.340,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,12/03/23 01:00:00,0.000,0.018,0.083,0.061,0.011,0.116,0.098,0.077,0.110,0.208,0.340,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,12/03/23 02:00:00,0.000,0.018,0.083,0.061,0.011,0.116,0.097,0.077,0.110,0.208,0.340,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,12/03/23 03:00:00,0.000,0.018,0.082,0.061,0.011,0.116,0.097,0.077,0.110,0.208,0.340,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,12/03/23 04:00:00,0.000,0.018,0.082,0.061,0.011,0.116,0.097,0.077,0.110,0.207,0.340,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,12/03/23 05:00:00,0.000,0.018,0.082,0.061,0.011,0.116,0.097,0.077,0.109,0.207,0.340,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,12/03/23 06:00:00,0.000,0.018,0.082,0.061,0.011,0.116,0.097,0.076,0.109,0.207,0.340,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,12/03/23 07:00:00,0.000,0.018,0.082,0.061,0.011,0.116,0.096,0.076,0.109,0.207,0.340,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,12/03/23 08:00:00,0.000,0.018,0.082,0.060,0.011,0.116,0.097,0.076,0.109,0.207,0.340,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,12/03/23 09:00:00,0.000,0.018,0.082,0.060,0.011,0.116,0.097,0.076,0.109,0.207,0.339,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,12/03/23 10:00:00,0.000,0.018,0.082,0.060,0.011,0.116,0.097,0.076,0.109,0.207,0.339,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,12/03/23 11:00:00,0.000,0.018,0.083,0.060,0.011,0.116,0.097,0.076,0.109,0.207,0.339,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
