Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5"
4371,10/15/22 09:10:00,,,,,,1,1,1,,,,,,,,,
4372,10/15/22 09:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4373,10/15/22 09:40:00,,,,,,1,1,1,,,,,,,,,
4374,10/15/22 10:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4375,10/15/22 10:10:00,,,,,,1,1,1,,,,,,,,,
4376,10/15/22 10:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4377,10/15/22 10:40:00,,,,,,1,1,1,,,,,,,,,
4378,10/15/22 11:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4379,10/15/22 11:10:00,,,,,,1,1,1,,,,,,,,,
4380,10/15/22 11:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4381,10/15/22 11:40:00,,,,,,1,1,1,,,,,,,,,
4382,10/15/22 12:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4383,10/15/22 12:10:00,,,,,,1,1,1,,,,,,,,,
4384,10/15/22 12:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4385,10/15/22 12:40:00,,,,,,1,1,1,,,,,,,,,
4386,10/15/22 13:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4387,10/15/22 13:10:00,,,,,,1,1,1,,,,,,,,,
4388,10/15/22 13:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4389,10/15/22 13:40:00,,,,,,1,1,1,,,,,,,,,
4390,10/15/22 14:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4391,10/15/22 14:10:00,,,,,,1,1,1,,,,,,,,,
4392,10/15/22 14:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4393,10/15/22 14:40:00,,,,,,1,1,1,,,,,,,,,
4394,10/15/22 15:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4395,10/15/22 15:10:00,,,,,,1,1,1,,,,,,,,,
4396,10/15/22 15:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4397,10/15/22 15:40:00,,,,,,1,1,1,,,,,,,,,
4398,10/15/22 16:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4399,10/15/22 16:10:00,,,,,,1,1,1,,,,,,,,,
4400,10/15/22 16:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4401,10/15/22 16:40:00,,,,,,1,1,1,,,,,,,,,
4402,10/15/22 17:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4403,10/15/22 17:10:00,,,,,,1,1,1,,,,,,,,,
4404,10/15/22 17:30:00,1,1,1,1,1,,,,1,1,1,1,2,1,2,,
4405,10/15/22 17:40:00,,,,,,1,3,1,,,,,,,,,
4406,10/15/22 18:00:00,6,3,2,2,1,,,,2,2,2,1,8,3,12,,
4407,10/15/22 18:10:00,,,,,,2,52,11,,,,,,,,,
4408,10/15/22 18:30:00,29,39,4,8,4,,,,18,22,6,3,38,,43,,
4409,10/15/22 18:40:00,,,,,,4,98,34,,,,,,,,,
4410,10/15/22 19:00:00,43,114,8,12,27,,,,43,49,11,17,59,,81,,
4411,10/15/22 19:10:00,,,,,,6,138,61,,,,,,,,,
4412,10/15/22 19:30:00,61,156,11,23,97,,,,81,72,29,68,16,,112,,
4413,10/15/22 19:40:00,,,,,,7,192,96,,,,,,,,,
4414,10/15/22 20:00:00,156,187,12,59,176,,,,53,78,101,96,18,,137,,
4415,10/15/22 20:10:00,,,,,,9,222,124,,,,,,,,,
4416,10/15/22 20:30:00,177,194,14,76,159,,,,29,89,121,116,19,,159,,
4417,10/15/22 20:40:00,,,,,,9,243,147,,,,,,,,,
4418,10/15/22 21:00:00,186,219,14,91,121,,,,28,69,139,131,19,,178,,
4419,10/15/22 21:10:00,,,,,,11,234,166,,,,,,,,,
4420,10/15/22 21:30:00,221,223,16,98,109,,,,29,48,151,141,19,21,192,,
4421,10/15/22 21:40:00,,,,,,11,131,179,,,,,,,,,
4422,10/15/22 22:00:00,82,137,16,113,62,,,,29,84,159,147,21,22,196,,
4423,10/15/22 22:10:00,,,,,,12,38,186,,,,,,,,,
4424,10/15/22 22:30:00,194,29,16,97,54,,,,29,47,162,64,19,21,194,,
4425,10/15/22 22:40:00,,,,,,12,29,184,,,,,,,,,
4426,10/15/22 23:00:00,64,27,16,116,43,,,,26,38,162,26,19,18,187,,
4427,10/15/22 23:10:00,,,,,,12,23,177,,,,,,,,,
4428,10/15/22 23:30:00,53,24,16,111,43,,,,24,33,151,21,18,18,172,,
4429,10/15/22 23:40:00,,,,,,12,21,164,,,,,,,,,
4430,10/16/22 00:00:00,42,18,14,98,63,,,,27,26,142,19,18,16,151,,
4431,10/16/22 00:10:00,,,,,,12,17,144,,,,,,,,,
4432,10/16/22 00:30:00,31,13,14,84,203,,,,107,19,122,18,16,14,126,,
4433,10/16/22 00:40:00,,,,,,12,13,117,,,,,,,,,
4434,10/16/22 01:00:00,19,9,13,61,236,,,,92,14,98,16,14,13,98,,
4435,10/16/22 01:10:00,,,,,,11,11,82,,,,,,,,,
4436,10/16/22 01:30:00,12,8,11,42,181,,,,56,9,69,13,11,12,61,,
4437,10/16/22 01:40:00,,,,,,9,8,47,,,,,,,,,
4438,10/16/22 02:00:00,7,6,8,23,111,,,,13,6,24,8,8,9,26,,
4439,10/16/22 02:10:00,,,,,,7,4,21,,,,,,,,,
4440,10/16/22 02:30:00,3,3,4,9,34,,,,4,3,6,3,4,4,7,,
4441,10/16/22 02:40:00,,,,,,8,2,6,,,,,,,,,
4442,10/16/22 03:00:00,1,1,2,2,2,,,,1,1,2,1,1,2,1,,
4443,10/16/22 03:10:00,,,,,,1,1,1,,,,,,,,,
4444,10/16/22 03:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4445,10/16/22 03:40:00,,,,,,1,1,1,,,,,,,,,
4446,10/16/22 04:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4447,10/16/22 04:10:00,,,,,,1,1,1,,,,,,,,,
4448,10/16/22 04:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4449,10/16/22 04:40:00,,,,,,1,1,1,,,,,,,,,
4450,10/16/22 05:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4451,10/16/22 05:10:00,,,,,,1,1,1,,,,,,,,,
4452,10/16/22 05:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4453,10/16/22 05:40:00,,,,,,1,1,1,,,,,,,,,
4454,10/16/22 06:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4455,10/16/22 06:10:00,,,,,,1,1,1,,,,,,,,,
4456,10/16/22 06:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4457,10/16/22 06:40:00,,,,,,1,1,1,,,,,,,,,
4458,10/16/22 07:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4459,10/16/22 07:10:00,,,,,,1,1,1,,,,,,,,,
4460,10/16/22 07:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4461,10/16/22 07:40:00,,,,,,1,1,1,,,,,,,,,
4462,10/16/22 08:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4463,10/16/22 08:10:00,,,,,,1,1,1,,,,,,,,,
4464,10/16/22 08:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4465,10/16/22 08:40:00,,,,,,1,1,1,,,,,,,,,
4466,10/16/22 09:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4467,10/16/22 09:10:00,,,,,,1,1,1,,,,,,,,,
4468,10/16/22 09:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4469,10/16/22 09:40:00,,,,,,1,1,1,,,,,,,,,
4470,10/16/22 10:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4471,10/16/22 10:10:00,,,,,,1,1,1,,,,,,,,,
4472,10/16/22 10:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4473,10/16/22 10:40:00,,,,,,1,1,1,,,,,,,,,
4474,10/16/22 11:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4475,10/16/22 11:10:00,,,,,,1,1,1,,,,,,,,,
4476,10/16/22 11:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4477,10/16/22 11:40:00,,,,,,1,1,1,,,,,,,,,
4478,10/16/22 12:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4479,10/16/22 12:10:00,,,,,,1,1,1,,,,,,,,,
4480,10/16/22 12:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4481,10/16/22 12:40:00,,,,,,1,1,1,,,,,,,,,
4482,10/16/22 13:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4483,10/16/22 13:10:00,,,,,,1,1,1,,,,,,,,,
4484,10/16/22 13:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4485,10/16/22 13:40:00,,,,,,1,1,1,,,,,,,,,
4486,10/16/22 14:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4487,10/16/22 14:10:00,,,,,,1,1,1,,,,,,,,,
4488,10/16/22 14:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4489,10/16/22 14:40:00,,,,,,1,1,1,,,,,,,,,
4490,10/16/22 15:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4491,10/16/22 15:10:00,,,,,,1,1,1,,,,,,,,,
4492,10/16/22 15:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4493,10/16/22 15:40:00,,,,,,1,1,1,,,,,,,,,
4494,10/16/22 16:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4495,10/16/22 16:10:00,,,,,,1,1,1,,,,,,,,,
4496,10/16/22 16:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4497,10/16/22 16:40:00,,,,,,1,1,1,,,,,,,,,
4498,10/16/22 17:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4499,10/16/22 17:10:00,,,,,,1,1,1,,,,,,,,,
4500,10/16/22 17:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4501,10/16/22 17:40:00,,,,,,1,1,1,,,,,,,,,
4502,10/16/22 18:00:00,2,1,1,1,1,,,,1,1,1,1,2,1,3,,
4503,10/16/22 18:10:00,,,,,,1,2,1,,,,,,,,,
4504,10/16/22 18:30:00,6,2,1,2,1,,,,2,2,2,1,4,2,9,,
4505,10/16/22 18:40:00,,,,,,2,7,4,,,,,,,,,
4506,10/16/22 19:00:00,12,6,4,8,4,,,,6,6,6,2,12,7,21,,
4507,10/16/22 19:10:00,,,,,,7,12,11,,,,,,,,,
4508,10/16/22 19:30:00,16,9,7,12,7,,,,9,9,8,4,14,11,24,,
4509,10/16/22 19:40:00,,,,,,9,14,14,,,,,,,,,
4510,10/16/22 20:00:00,16,9,8,13,8,,,,9,9,9,6,16,12,26,,
4511,10/16/22 20:10:00,,,,,,9,16,16,,,,,,,,,
4512,10/16/22 20:30:00,19,12,9,16,9,,,,12,12,11,6,19,14,33,,
4513,10/16/22 20:40:00,,,,,,13,22,21,,,,,,,,,
4514,10/16/22 21:00:00,18,16,12,19,12,,,,14,14,13,7,18,18,32,,
4515,10/16/22 21:10:00,,,,,,13,17,21,,,,,,,,,
4516,10/16/22 21:30:00,21,14,11,17,11,,,,13,13,12,7,19,16,38,,
4517,10/16/22 21:40:00,,,,,,12,21,19,,,,,,,,,
4518,10/16/22 22:00:00,34,18,13,22,14,,,,18,18,16,8,33,19,61,,
4519,10/16/22 22:10:00,,,,,,22,38,34,,,,,,,,,
4520,10/16/22 22:30:00,29,27,21,33,22,,,,26,26,23,14,28,29,41,,
4521,10/16/22 22:40:00,,,,,,22,24,33,,,,,,,,,
4522,10/16/22 23:00:00,19,16,12,21,13,,,,17,16,14,7,18,18,34,,
4523,10/16/22 23:10:00,,,,,,14,21,22,,,,,,,,,
4524,10/16/22 23:30:00,19,16,12,19,12,,,,16,16,13,7,18,18,32,,
4525,10/16/22 23:40:00,,,,,,14,16,22,,,,,,,,,
4526,10/17/22 00:00:00,19,12,8,14,9,,,,11,11,11,6,18,13,43,,
4527,10/17/22 00:10:00,,,,,,13,31,22,,,,,,,,,
4528,10/17/22 00:30:00,27,21,16,26,17,,,,19,19,17,9,26,23,41,,
4529,10/17/22 00:40:00,,,,,,19,22,29,,,,,,,,,
4530,10/17/22 01:00:00,8,12,9,16,11,,,,12,12,11,6,8,14,17,,
4531,10/17/22 01:10:00,,,,,,7,8,12,,,,,,,,,
4532,10/17/22 01:30:00,6,4,2,4,2,,,,3,3,3,1,4,4,12,,
4533,10/17/22 01:40:00,,,,,,3,6,6,,,,,,,,,
4534,10/17/22 02:00:00,3,2,2,3,2,,,,2,2,2,1,2,3,7,,
4535,10/17/22 02:10:00,,,,,,2,2,4,,,,,,,,,
4536,10/17/22 02:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,2,,
4537,10/17/22 02:40:00,,,,,,1,1,1,,,,,,,,,
4538,10/17/22 03:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4539,10/17/22 03:10:00,,,,,,1,1,1,,,,,,,,,
4540,10/17/22 03:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4541,10/17/22 03:40:00,,,,,,1,1,1,,,,,,,,,
4542,10/17/22 04:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4543,10/17/22 04:10:00,,,,,,1,1,1,,,,,,,,,
4544,10/17/22 04:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4545,10/17/22 04:40:00,,,,,,1,1,1,,,,,,,,,
4546,10/17/22 05:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4547,10/17/22 05:10:00,,,,,,1,1,1,,,,,,,,,
4548,10/17/22 05:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4549,10/17/22 05:40:00,,,,,,1,1,1,,,,,,,,,
4550,10/17/22 06:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4551,10/17/22 06:10:00,,,,,,1,1,1,,,,,,,,,
4552,10/17/22 06:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4553,10/17/22 06:40:00,,,,,,1,1,1,,,,,,,,,
4554,10/17/22 07:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4555,10/17/22 07:10:00,,,,,,1,1,1,,,,,,,,,
4556,10/17/22 07:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4557,10/17/22 07:40:00,,,,,,1,1,1,,,,,,,,,
4558,10/17/22 08:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4559,10/17/22 08:10:00,,,,,,1,1,1,,,,,,,,,
4560,10/17/22 08:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4561,10/17/22 08:40:00,,,,,,1,1,1,,,,,,,,,
4562,10/17/22 09:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4563,10/17/22 09:10:00,,,,,,1,1,1,,,,,,,,,
4564,10/17/22 09:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4565,10/17/22 09:40:00,,,,,,1,1,1,,,,,,,,,
4566,10/17/22 10:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4567,10/17/22 10:10:00,,,,,,1,1,1,,,,,,,,,
4568,10/17/22 10:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4569,10/17/22 10:40:00,,,,,,1,1,1,,,,,,,,,
4570,10/17/22 11:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4571,10/17/22 11:10:00,,,,,,1,1,1,,,,,,,,,
4572,10/17/22 11:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4573,10/17/22 11:40:00,,,,,,1,1,1,,,,,,,,,
4574,10/17/22 12:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4575,10/17/22 12:10:00,,,,,,1,1,1,,,,,,,,,
4576,10/17/22 12:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4577,10/17/22 12:40:00,,,,,,1,1,1,,,,,,,,,
4578,10/17/22 13:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4579,10/17/22 13:10:00,,,,,,1,1,1,,,,,,,,,
4580,10/17/22 13:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4581,10/17/22 13:40:00,,,,,,1,1,1,,,,,,,,,
4582,10/17/22 14:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4583,10/17/22 14:10:00,,,,,,1,1,1,,,,,,,,,
4584,10/17/22 14:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4585,10/17/22 14:40:00,,,,,,1,1,1,,,,,,,,,
4586,10/17/22 15:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4587,10/17/22 15:10:00,,,,,,1,1,1,,,,,,,,,
4588,10/17/22 15:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4589,10/17/22 15:40:00,,,,,,1,1,1,,,,,,,,,
4590,10/17/22 16:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4591,10/17/22 16:10:00,,,,,,1,1,1,,,,,,,,,
4592,10/17/22 16:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4593,10/17/22 16:40:00,,,,,,1,1,1,,,,,,,,,
4594,10/17/22 17:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4595,10/17/22 17:10:00,,,,,,1,1,1,,,,,,,,,
4596,10/17/22 17:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4597,10/17/22 17:40:00,,,,,,1,1,1,,,,,,,,,
4598,10/17/22 18:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,2,,
4599,10/17/22 18:10:00,,,,,,1,2,1,,,,,,,,,
4600,10/17/22 18:30:00,4,2,1,2,1,,,,1,2,1,1,4,2,11,,
4601,10/17/22 18:40:00,,,,,,2,8,4,,,,,,,,,
4602,10/17/22 19:00:00,13,6,4,8,4,,,,6,6,6,2,12,7,19,,
4603,10/17/22 19:10:00,,,,,,7,12,11,,,,,,,,,
4604,10/17/22 19:30:00,14,9,8,12,8,,,,9,9,8,4,14,11,28,,
4605,10/17/22 19:40:00,,,,,,9,17,16,,,,,,,,,
4606,10/17/22 20:00:00,24,14,12,18,12,,,,14,13,12,7,23,16,41,,
4607,10/17/22 20:10:00,,,,,,16,23,23,,,,,,,,,
4608,10/17/22 20:30:00,23,17,14,22,14,,,,18,17,16,9,22,21,42,,
4609,10/17/22 20:40:00,,,,,,17,22,26,,,,,,,,,
4610,10/17/22 21:00:00,18,16,12,21,13,,,,16,16,14,7,18,18,34,,
4611,10/17/22 21:10:00,,,,,,14,18,22,,,,,,,,,
4612,10/17/22 21:30:00,22,13,11,16,11,,,,13,12,11,6,19,16,47,,
4613,10/17/22 21:40:00,,,,,,14,23,22,,,,,,,,,
4614,10/17/22 22:00:00,26,18,14,22,14,,,,18,17,16,7,23,21,44,,
4615,10/17/22 22:10:00,,,,,,17,22,26,,,,,,,,,
4616,10/17/22 22:30:00,24,16,13,22,13,,,,17,16,14,9,24,19,42,,
4617,10/17/22 22:40:00,,,,,,17,32,26,,,,,,,,,
4618,10/17/22 23:00:00,32,23,19,31,19,,,,24,23,22,13,31,28,57,,
4619,10/17/22 23:10:00,,,,,,24,33,36,,,,,,,,,
4620,10/17/22 23:30:00,33,26,21,33,22,,,,26,24,23,13,32,29,56,,
4621,10/17/22 23:40:00,,,,,,23,31,34,,,,,,,,,
4622,10/18/22 00:00:00,29,23,18,29,19,,,,23,22,21,12,29,27,47,,
4623,10/18/22 00:10:00,,,,,,22,33,32,,,,,,,,,
4624,10/18/22 00:30:00,24,22,18,28,18,,,,22,21,19,13,22,24,43,,
4625,10/18/22 00:40:00,,,,,,19,26,29,,,,,,,,,
4626,10/18/22 01:00:00,19,16,12,19,12,,,,16,14,14,8,18,18,29,,
4627,10/18/22 01:10:00,,,,,,12,12,19,,,,,,,,,
4628,10/18/22 01:30:00,7,7,6,9,6,,,,7,7,7,4,6,9,14,,
4629,10/18/22 01:40:00,,,,,,6,7,9,,,,,,,,,
4630,10/18/22 02:00:00,3,2,2,4,2,,,,3,2,2,2,3,3,6,,
4631,10/18/22 02:10:00,,,,,,2,2,4,,,,,,,,,
4632,10/18/22 02:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4633,10/18/22 02:40:00,,,,,,1,1,1,,,,,,,,,
4634,10/18/22 03:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4635,10/18/22 03:10:00,,,,,,1,1,1,,,,,,,,,
4636,10/18/22 03:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4637,10/18/22 03:40:00,,,,,,1,1,1,,,,,,,,,
4638,10/18/22 04:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4639,10/18/22 04:10:00,,,,,,1,1,1,,,,,,,,,
4640,10/18/22 04:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4641,10/18/22 04:40:00,,,,,,1,1,1,,,,,,,,,
4642,10/18/22 05:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4643,10/18/22 05:10:00,,,,,,1,1,1,,,,,,,,,
4644,10/18/22 05:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4645,10/18/22 05:40:00,,,,,,1,1,1,,,,,,,,,
4646,10/18/22 06:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4647,10/18/22 06:10:00,,,,,,1,1,1,,,,,,,,,
4648,10/18/22 06:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4649,10/18/22 06:40:00,,,,,,1,1,1,,,,,,,,,
4650,10/18/22 07:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4651,10/18/22 07:10:00,,,,,,1,1,1,,,,,,,,,
4652,10/18/22 07:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4653,10/18/22 07:40:00,,,,,,1,1,1,,,,,,,,,
4654,10/18/22 08:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4655,10/18/22 08:10:00,,,,,,1,1,1,,,,,,,,,
4656,10/18/22 08:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4657,10/18/22 08:40:00,,,,,,1,1,1,,,,,,,,,
4658,10/18/22 09:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4659,10/18/22 09:10:00,,,,,,1,1,1,,,,,,,,,
4660,10/18/22 09:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4661,10/18/22 09:40:00,,,,,,1,1,1,,,,,,,,,
4662,10/18/22 10:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4663,10/18/22 10:10:00,,,,,,1,1,1,,,,,,,,,
4664,10/18/22 10:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4665,10/18/22 10:40:00,,,,,,1,1,1,,,,,,,,,
4666,10/18/22 11:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4667,10/18/22 11:10:00,,,,,,1,1,1,,,,,,,,,
4668,10/18/22 11:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4669,10/18/22 11:40:00,,,,,,1,1,1,,,,,,,,,
4670,10/18/22 12:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4671,10/18/22 12:10:00,,,,,,1,1,1,,,,,,,,,
4672,10/18/22 12:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4673,10/18/22 12:40:00,,,,,,1,1,1,,,,,,,,,
4674,10/18/22 13:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4675,10/18/22 13:10:00,,,,,,1,1,1,,,,,,,,,
4676,10/18/22 13:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4677,10/18/22 13:40:00,,,,,,1,1,1,,,,,,,,,
4678,10/18/22 14:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4679,10/18/22 14:10:00,,,,,,1,1,1,,,,,,,,,
4680,10/18/22 14:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4681,10/18/22 14:40:00,,,,,,1,1,1,,,,,,,,,
4682,10/18/22 15:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4683,10/18/22 15:10:00,,,,,,1,1,1,,,,,,,,,
4684,10/18/22 15:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4685,10/18/22 15:40:00,,,,,,1,1,1,,,,,,,,,
4686,10/18/22 16:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4687,10/18/22 16:10:00,,,,,,1,1,1,,,,,,,,,
4688,10/18/22 16:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4689,10/18/22 16:40:00,,,,,,1,1,1,,,,,,,,,
4690,10/18/22 17:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4691,10/18/22 17:10:00,,,,,,1,1,1,,,,,,,,,
4692,10/18/22 17:30:00,1,1,1,1,1,,,,1,1,1,1,1,1,1,,
4693,10/18/22 17:40:00,,,,,,1,1,1,,,,,,,,,
4694,10/18/22 18:00:00,1,1,1,1,1,,,,1,1,1,1,1,1,3,,
4695,10/18/22 18:10:00,,,,,,1,2,1,,,,,,,,,
4696,10/18/22 18:30:00,4,1,1,2,1,,,,1,2,2,1,4,2,7,,
4697,10/18/22 18:40:00,,,,,,2,6,4,,,,,,,,,
4698,10/18/22 19:00:00,11,6,6,8,4,,,,7,6,6,3,12,8,19,,
4699,10/18/22 19:10:00,,,,,,7,11,9,,,,,,,,,
4700,10/18/22 19:30:00,17,8,7,11,6,,,,8,8,8,4,17,11,28,,
4701,10/18/22 19:40:00,,,,,,9,29,16,,,,,,,,,
4702,10/18/22 20:00:00,19,18,14,23,14,,,,19,18,18,8,21,22,36,,
4703,10/18/22 20:10:00,,,,,,16,23,23,,,,,,,,,
4704,10/18/22 20:30:00,32,19,17,27,17,,,,21,19,19,9,34,24,46,,
4705,10/18/22 20:40:00,,,,,,22,27,31,,,,,,,,,
4706,10/18/22 21:00:00,29,19,18,28,17,,,,21,19,19,13,29,27,54,,
