"","Date","fullname","site","station","sensor","max","min","avg","amp"
"1",2022-09-01,"BEO-BASE","BEO","BASE","21397541",4.41,3.124,3.767,1.286
"2",2022-09-01,"SSMH-BASE","SSMH","BASE","21390849",4.282,3.145,3.7135,1.137
"3",2022-09-01,"TNHA-BASE","TNHA","BASE","21218018",4.389,3.295,3.842,1.094
"4",2022-09-01,"TNHA-SA","TNHA","SA","21380919",5.3,3.47,4.385,1.83
"5",2022-09-01,"TNHA-SB","TNHA","SB","21398676",4.61,3.36,3.985,1.25
"6",2022-09-01,"TNHA-SC","TNHA","SC","21398674",4.31,3.3,3.805,1.01
"7",2022-09-01,"TNHA-SD","TNHA","SD","21398666",4.16,3.26,3.71,0.9
"8",2022-09-02,"BEO-BASE","BEO","BASE","21397541",4.325,1.858,3.0915,2.467
"9",2022-09-02,"SSMH-BASE","SSMH","BASE","21390849",4.646,2.116,3.381,2.53
"10",2022-09-02,"TNHA-BASE","TNHA","BASE","21218018",4.775,2.266,3.5205,2.509
"11",2022-09-02,"TNHA-SA","TNHA","SA","21380919",5.02,2.36,3.69,2.66
"12",2022-09-02,"TNHA-SB","TNHA","SB","21398676",4.14,2.42,3.28,1.72
"13",2022-09-02,"TNHA-SC","TNHA","SC","21398674",3.84,2.34,3.09,1.5
"14",2022-09-02,"TNHA-SD","TNHA","SD","21398666",3.82,2.27,3.045,1.55
"15",2022-09-03,"BEO-BASE","BEO","BASE","21397541",6.641,1.837,4.239,4.804
"16",2022-09-03,"SSMH-BASE","SSMH","BASE","21390849",6.877,2.094,4.4855,4.783
"17",2022-09-03,"TNHA-BASE","TNHA","BASE","21218018",7.22,2.073,4.6465,5.147
"18",2022-09-03,"TNHA-SA","TNHA","SA","21380919",7.53,2.25,4.89,5.28
"19",2022-09-03,"TNHA-SB","TNHA","SB","21398676",7.25,2.21,4.73,5.04
"20",2022-09-03,"TNHA-SC","TNHA","SC","21398674",7.1,2.19,4.645,4.91
"21",2022-09-03,"TNHA-SD","TNHA","SD","21398666",6.93,1.95,4.44,4.98
"22",2022-09-04,"BEO-BASE","BEO","BASE","21397541",7.606,2.652,5.129,4.954
"23",2022-09-04,"SSMH-BASE","SSMH","BASE","21390849",7.327,3.167,5.247,4.16
"24",2022-09-04,"TNHA-BASE","TNHA","BASE","21218018",9.086,2.78,5.933,6.306
"25",2022-09-04,"TNHA-SA","TNHA","SA","21380919",11.13,2.89,7.01,8.24
"26",2022-09-04,"TNHA-SB","TNHA","SB","21398676",9.5,2.57,6.035,6.93
"27",2022-09-04,"TNHA-SC","TNHA","SC","21398674",7.85,2.46,5.155,5.39
"28",2022-09-04,"TNHA-SD","TNHA","SD","21398666",7.76,2.7,5.23,5.06
"29",2022-09-05,"BEO-BASE","BEO","BASE","21397541",4.625,0.85,2.7375,3.775
"30",2022-09-05,"SSMH-BASE","SSMH","BASE","21390849",5.612,2.673,4.1425,2.939
"31",2022-09-05,"TNHA-BASE","TNHA","BASE","21218018",5.526,2.459,3.9925,3.067
"32",2022-09-05,"TNHA-SA","TNHA","SA","21380919",6.17,2.53,4.35,3.64
"33",2022-09-05,"TNHA-SB","TNHA","SB","21398676",4.87,2.44,3.655,2.43
"34",2022-09-05,"TNHA-SC","TNHA","SC","21398674",4.91,2.59,3.75,2.32
"35",2022-09-05,"TNHA-SD","TNHA","SD","21398666",4.42,2.38,3.4,2.04
"36",2022-09-06,"BEO-BASE","BEO","BASE","21397541",6.255,1.086,3.6705,5.169
"37",2022-09-06,"SSMH-BASE","SSMH","BASE","21390849",5.333,1.172,3.2525,4.161
"38",2022-09-06,"TNHA-BASE","TNHA","BASE","21218018",6.427,1.086,3.7565,5.341
"39",2022-09-06,"TNHA-SA","TNHA","SA","21380919",8.96,1.13,5.045,7.83
"40",2022-09-06,"TNHA-SB","TNHA","SB","21398676",6.63,1.18,3.905,5.45
"41",2022-09-06,"TNHA-SC","TNHA","SC","21398674",5.36,1.22,3.29,4.14
"42",2022-09-06,"TNHA-SD","TNHA","SD","21398666",5.36,1.05,3.205,4.31
"43",2022-09-07,"BEO-BASE","BEO","BASE","21397541",9.408,-0.394,4.507,9.802
"44",2022-09-07,"SSMH-BASE","SSMH","BASE","21390849",9.579,0.421,5,9.158
"45",2022-09-07,"TNHA-BASE","TNHA","BASE","21218018",10.352,0.486,5.419,9.866
"46",2022-09-07,"TNHA-SA","TNHA","SA","21380919",15.59,0.71,8.15,14.88
"47",2022-09-07,"TNHA-SB","TNHA","SB","21398676",10.66,0.64,5.65,10.02
"48",2022-09-07,"TNHA-SC","TNHA","SC","21398674",8.9,0.66,4.78,8.24
"49",2022-09-07,"TNHA-SD","TNHA","SD","21398666",9.14,0.49,4.815,8.65
"50",2022-09-08,"BEO-BASE","BEO","BASE","21397541",6.169,-0.394,2.8875,6.563
"51",2022-09-08,"SSMH-BASE","SSMH","BASE","21390849",5.912,-0.351,2.7805,6.263
"52",2022-09-08,"TNHA-BASE","TNHA","BASE","21218018",7.413,-0.136,3.6385,7.549
"53",2022-09-08,"TNHA-SA","TNHA","SA","21380919",10.4,0.04,5.22,10.36
"54",2022-09-08,"TNHA-SB","TNHA","SB","21398676",7.57,-0.02,3.775,7.59
"55",2022-09-08,"TNHA-SC","TNHA","SC","21398674",6.45,0.04,3.245,6.41
"56",2022-09-08,"TNHA-SD","TNHA","SD","21398666",6.26,-0.24,3.01,6.5
"57",2022-09-09,"BEO-BASE","BEO","BASE","21397541",5.268,0.786,3.027,4.482
"58",2022-09-09,"SSMH-BASE","SSMH","BASE","21390849",5.74,0.936,3.338,4.804
"59",2022-09-09,"TNHA-BASE","TNHA","BASE","21218018",5.933,0.979,3.456,4.954
"60",2022-09-09,"TNHA-SA","TNHA","SA","21380919",9.67,1.35,5.51,8.32
"61",2022-09-09,"TNHA-SB","TNHA","SB","21398676",5.34,1.13,3.235,4.21
"62",2022-09-09,"TNHA-SC","TNHA","SC","21398674",4.69,1.09,2.89,3.6
"63",2022-09-09,"TNHA-SD","TNHA","SD","21398666",5.42,0.94,3.18,4.48
"64",2022-09-10,"BEO-BASE","BEO","BASE","21397541",3.016,0.893,1.9545,2.123
"65",2022-09-10,"SSMH-BASE","SSMH","BASE","21390849",2.952,1.043,1.9975,1.909
"66",2022-09-10,"TNHA-BASE","TNHA","BASE","21218018",3.081,1.129,2.105,1.952
"67",2022-09-10,"TNHA-SA","TNHA","SA","21380919",3.97,1.31,2.64,2.66
"68",2022-09-10,"TNHA-SB","TNHA","SB","21398676",3.26,1.26,2.26,2
"69",2022-09-10,"TNHA-SC","TNHA","SC","21398674",3.04,1.2,2.12,1.84
"70",2022-09-10,"TNHA-SD","TNHA","SD","21398666",2.87,1.11,1.99,1.76
"71",2022-09-11,"BEO-BASE","BEO","BASE","21397541",2.63,0.357,1.4935,2.273
"72",2022-09-11,"SSMH-BASE","SSMH","BASE","21390849",2.845,0.593,1.719,2.252
"73",2022-09-11,"TNHA-BASE","TNHA","BASE","21218018",2.823,0.614,1.7185,2.209
"74",2022-09-11,"TNHA-SA","TNHA","SA","21380919",3.56,0.73,2.145,2.83
"75",2022-09-11,"TNHA-SB","TNHA","SB","21398676",3.04,0.79,1.915,2.25
"76",2022-09-11,"TNHA-SC","TNHA","SC","21398674",2.76,0.71,1.735,2.05
"77",2022-09-11,"TNHA-SD","TNHA","SD","21398666",2.68,0.62,1.65,2.06
"78",2022-09-12,"BEO-BASE","BEO","BASE","21397541",2.609,0.979,1.794,1.63
"79",2022-09-12,"SSMH-BASE","SSMH","BASE","21390849",2.63,1.043,1.8365,1.587
"80",2022-09-12,"TNHA-BASE","TNHA","BASE","21218018",3.124,1.258,2.191,1.866
"81",2022-09-12,"TNHA-SA","TNHA","SA","21380919",3.64,1.37,2.505,2.27
"82",2022-09-12,"TNHA-SB","TNHA","SB","21398676",3.26,1.33,2.295,1.93
"83",2022-09-12,"TNHA-SC","TNHA","SC","21398674",2.87,1.28,2.075,1.59
"84",2022-09-12,"TNHA-SD","TNHA","SD","21398666",2.81,1.22,2.015,1.59
"85",2022-09-13,"BEO-BASE","BEO","BASE","21397541",2.566,1.558,2.062,1.008
"86",2022-09-13,"SSMH-BASE","SSMH","BASE","21390849",2.373,1.579,1.976,0.794
"87",2022-09-13,"TNHA-BASE","TNHA","BASE","21218018",2.523,1.622,2.0725,0.901
"88",2022-09-13,"TNHA-SA","TNHA","SA","21380919",3.26,1.69,2.475,1.57
"89",2022-09-13,"TNHA-SB","TNHA","SB","21398676",2.68,1.76,2.22,0.92
"90",2022-09-13,"TNHA-SC","TNHA","SC","21398674",2.55,1.67,2.11,0.88
"91",2022-09-13,"TNHA-SD","TNHA","SD","21398666",2.4,1.61,2.005,0.79
"92",2022-09-14,"BEO-BASE","BEO","BASE","21397541",1.923,0.636,1.2795,1.287
"93",2022-09-14,"SSMH-BASE","SSMH","BASE","21390849",1.88,0.786,1.333,1.094
"94",2022-09-14,"TNHA-BASE","TNHA","BASE","21218018",1.923,0.764,1.3435,1.159
"95",2022-09-14,"TNHA-SA","TNHA","SA","21380919",2.25,1.03,1.64,1.22
"96",2022-09-14,"TNHA-SB","TNHA","SB","21398676",2.12,1.01,1.565,1.11
"97",2022-09-14,"TNHA-SC","TNHA","SC","21398674",1.93,0.98,1.455,0.95
"98",2022-09-14,"TNHA-SD","TNHA","SD","21398666",1.82,0.81,1.315,1.01
"99",2022-09-15,"BEO-BASE","BEO","BASE","21397541",2.051,1.258,1.6545,0.793
"100",2022-09-15,"SSMH-BASE","SSMH","BASE","21390849",1.965,1.343,1.654,0.622
"101",2022-09-15,"TNHA-BASE","TNHA","BASE","21218018",2.008,1.322,1.665,0.686
"102",2022-09-15,"TNHA-SA","TNHA","SA","21380919",2.23,1.37,1.8,0.86
"103",2022-09-15,"TNHA-SB","TNHA","SB","21398676",2.1,1.41,1.755,0.69
"104",2022-09-15,"TNHA-SC","TNHA","SC","21398674",2.01,1.33,1.67,0.68
"105",2022-09-15,"TNHA-SD","TNHA","SD","21398666",1.86,1.31,1.585,0.55
"106",2022-09-16,"BEO-BASE","BEO","BASE","21397541",1.901,0.292,1.0965,1.609
"107",2022-09-16,"SSMH-BASE","SSMH","BASE","21390849",1.901,0.271,1.086,1.63
"108",2022-09-16,"TNHA-BASE","TNHA","BASE","21218018",1.965,0.4,1.1825,1.565
"109",2022-09-16,"TNHA-SA","TNHA","SA","21380919",2.03,0.47,1.25,1.56
"110",2022-09-16,"TNHA-SB","TNHA","SB","21398676",2.1,0.45,1.275,1.65
"111",2022-09-16,"TNHA-SC","TNHA","SC","21398674",2.03,0.47,1.25,1.56
"112",2022-09-16,"TNHA-SD","TNHA","SD","21398666",1.86,0.36,1.11,1.5
"113",2022-09-17,"BEO-BASE","BEO","BASE","21397541",1.665,0.099,0.882,1.566
"114",2022-09-17,"SSMH-BASE","SSMH","BASE","21390849",1.665,0.25,0.9575,1.415
"115",2022-09-17,"TNHA-BASE","TNHA","BASE","21218018",1.794,0.271,1.0325,1.523
"116",2022-09-17,"TNHA-SA","TNHA","SA","21380919",2.46,0.38,1.42,2.08
"117",2022-09-17,"TNHA-SB","TNHA","SB","21398676",1.95,0.4,1.175,1.55
"118",2022-09-17,"TNHA-SC","TNHA","SC","21398674",1.86,0.34,1.1,1.52
"119",2022-09-17,"TNHA-SD","TNHA","SD","21398666",1.61,0.19,0.9,1.42
"120",2022-09-18,"BEO-BASE","BEO","BASE","21397541",7.006,-0.158,3.424,7.164
"121",2022-09-18,"TNHA-BASE","TNHA","BASE","21218018",7.37,-0.072,3.649,7.442
"122",2022-09-18,"TNHA-SA","TNHA","SA","21380919",9.71,0.02,4.865,9.69
"123",2022-09-18,"TNHA-SB","TNHA","SB","21398664",7.93,3.45,5.69,4.48
"124",2022-09-18,"TNHA-SB","TNHA","SB","21398676",4.46,0.02,2.24,4.44
"125",2022-09-18,"TNHA-SC","TNHA","SC","21398674",6.43,0.04,3.235,6.39
"126",2022-09-18,"TNHA-SD","TNHA","SD","21398666",6.48,-0.09,3.195,6.57
"127",2022-09-19,"BEO-BASE","BEO","BASE","21397541",8.464,2.137,5.3005,6.327
"128",2022-09-19,"TNHA-BASE","TNHA","BASE","21218018",8.528,2.523,5.5255,6.005
"129",2022-09-19,"TNHA-SA","TNHA","SA","21380919",9.05,2.64,5.845,6.41
"130",2022-09-19,"TNHA-SB","TNHA","SB","21398664",8.36,2.68,5.52,5.68
"131",2022-09-19,"TNHA-SC","TNHA","SC","21398674",7.48,2.57,5.025,4.91
"132",2022-09-19,"TNHA-SD","TNHA","SD","21398666",8.3,2.53,5.415,5.77
"133",2022-09-20,"BEO-BASE","BEO","BASE","21397541",7.864,-2.817,2.5235,10.681
"134",2022-09-20,"TNHA-BASE","TNHA","BASE","21218018",10.33,-0.523,4.9035,10.853
"135",2022-09-20,"TNHA-SA","TNHA","SA","21380919",15.27,-0.52,7.375,15.79
"136",2022-09-20,"TNHA-SB","TNHA","SB","21398664",8.28,-0.41,3.935,8.69
"137",2022-09-20,"TNHA-SC","TNHA","SC","21398674",7.65,-0.32,3.665,7.97
"138",2022-09-20,"TNHA-SD","TNHA","SD","21398666",8.11,-0.56,3.775,8.67
"139",2022-09-21,"21398660","BUECI","21398660","21398660",4.14,4.01,4.075,0.13
"140",2022-09-21,"BEO-BASE","BEO","BASE","21397541",6.577,1.73,4.1535,4.847
"141",2022-09-21,"BUECI-SC","BUECI","SC","21398668",7.18,4.84,6.01,2.34
"142",2022-09-21,"BUECI-__","BUECI","__","21397542",4.775,4.046,4.4105,0.729
"143",2022-09-21,"BUECI-__","BUECI","__","21398659",4.67,4.44,4.555,0.23
"144",2022-09-21,"TNHA-BASE","TNHA","BASE","21218018",8.057,1.923,4.99,6.134
"145",2022-09-21,"TNHA-SA","TNHA","SA","21380919",9.86,1.97,5.915,7.89
"146",2022-09-21,"TNHA-SB","TNHA","SB","21398664",7.29,1.99,4.64,5.3
"147",2022-09-21,"TNHA-SC","TNHA","SC","21398674",5.85,2.1,3.975,3.75
"148",2022-09-21,"TNHA-SD","TNHA","SD","21398666",6.54,1.86,4.2,4.68
"149",2022-09-22,"21398660","BUECI","21398660","21398660",4.76,0.51,2.635,4.25
"150",2022-09-22,"BEO-BASE","BEO","BASE","21397541",4.346,-0.673,1.8365,5.019
"151",2022-09-22,"BUECI-SC","BUECI","SC","21398668",11.26,3.39,7.325,7.87
"152",2022-09-22,"BUECI-__","BUECI","__","21397542",4.904,0.25,2.577,4.654
"153",2022-09-22,"BUECI-__","BUECI","__","21398659",4.61,0.23,2.42,4.38
"154",2022-09-22,"BUECI-__","BUECI","__","21398661",4.8,0.45,2.625,4.35
"155",2022-09-22,"TNHA-BASE","TNHA","BASE","21218018",4.518,0.164,2.341,4.354
"156",2022-09-22,"TNHA-SA","TNHA","SA","21380919",4.65,0.28,2.465,4.37
"157",2022-09-22,"TNHA-SB","TNHA","SB","21398664",4.46,0.25,2.355,4.21
"158",2022-09-22,"TNHA-SC","TNHA","SC","21398674",4.46,0.28,2.37,4.18
"159",2022-09-22,"TNHA-SD","TNHA","SD","21398666",4.35,0.17,2.26,4.18
